SaleID,ProductID,QuantitySold,SaleDate,SalespersonID
115,17,9,9/22/2023,27
116,37,2,1/31/2024,67
117,35,1,5/10/2024,77
118,8,1,5/28/2025,51
119,43,4,12/24/2023,19
120,3,9,5/19/2025,43
121,3,4,8/14/2023,35
122,1,3,11/6/2024,15
123,24,8,11/1/2023,16
124,45,9,5/28/2024,99
125,30,5,9/7/2024,69
126,42,2,6/10/2025,71
127,26,4,1/16/2024,85
128,38,8,12/1/2024,41
129,43,2,4/11/2025,54
130,40,9,7/4/2024,65
131,43,5,3/8/2025,89
132,38,7,9/16/2024,30
133,44,5,8/6/2024,19
134,50,3,5/4/2025,88
135,3,2,4/22/2025,46
136,13,3,12/13/2023,60
137,36,2,7/16/2025,79
138,41,2,8/16/2023,99
139,48,2,1/17/2025,24
140,12,2,12/19/2024,36
141,20,8,9/11/2024,49
142,39,5,2/14/2024,59
143,44,9,8/21/2024,14
144,8,5,10/4/2024,86
145,47,1,2/7/2025,39
146,2,8,12/3/2024,8
147,11,3,8/19/2024,48
148,21,2,6/21/2025,80
149,37,6,9/9/2023,81
150,6,4,2/11/2025,69
151,19,4,7/23/2023,41
152,30,9,7/12/2024,35
153,46,8,12/24/2024,64
154,39,3,9/16/2023,53
155,44,9,10/11/2023,54
156,49,1,10/28/2023,37
157,36,7,3/12/2024,52
158,20,7,11/15/2024,18
159,10,2,5/12/2024,21
160,24,7,5/26/2025,42
161,33,7,11/5/2023,65
162,29,9,8/6/2023,81
163,30,6,9/11/2024,8
164,36,9,3/19/2024,93
165,45,3,6/9/2025,84
166,6,8,1/30/2025,39
167,47,4,6/18/2024,61
168,14,1,10/2/2023,60
169,3,7,10/20/2024,69
170,24,3,1/18/2025,59
171,19,4,12/21/2023,10
172,38,3,1/7/2024,63
173,34,6,3/12/2025,70
174,9,1,12/25/2024,7
175,30,7,4/29/2024,35
176,32,8,10/7/2024,91
177,13,3,12/4/2024,42
178,18,9,1/31/2025,85
179,44,2,2/14/2025,88
180,22,9,10/27/2023,29
181,4,5,10/20/2024,27
182,23,6,11/23/2023,38
183,7,2,6/23/2025,2
184,44,5,4/26/2024,25
185,11,6,2/4/2025,66
186,39,5,12/6/2024,38
187,42,4,4/11/2024,59
188,41,8,3/11/2024,82
189,34,2,7/30/2023,7
190,5,1,4/29/2025,49
191,42,2,5/23/2025,68
192,25,4,12/12/2023,41
193,28,1,6/25/2024,74
194,14,9,12/2/2024,51
195,27,1,1/23/2025,92
196,16,5,3/24/2024,94
197,27,8,10/21/2023,24
198,2,9,12/8/2024,36
199,19,9,10/17/2024,80
200,23,8,12/15/2023,97
201,41,6,3/2/2025,10
202,14,6,10/5/2023,21
203,47,9,10/8/2023,27
204,26,2,2/26/2025,55
205,8,3,6/15/2024,85
206,27,6,3/16/2024,91
207,47,8,1/27/2025,96
208,40,7,8/20/2023,5
209,28,8,6/24/2025,99
210,4,5,1/12/2024,86
211,38,9,12/9/2024,59
212,11,6,10/16/2024,36
213,44,2,11/5/2023,74
214,24,6,8/22/2023,34
215,28,4,3/15/2025,52
216,41,5,4/6/2024,6
217,18,5,10/9/2023,14
218,49,1,11/13/2024,59
219,21,5,7/1/2025,57
220,26,9,9/30/2023,37
221,3,8,10/30/2023,58
222,13,8,7/10/2024,83
223,38,3,1/8/2024,32
224,28,9,3/24/2025,20
225,14,9,7/14/2025,85
226,1,7,7/4/2025,79
227,28,6,2/15/2024,81
228,36,9,11/20/2024,61
229,50,6,2/3/2025,57
230,11,3,5/19/2025,52
231,43,6,4/20/2024,88
232,40,2,10/15/2024,85
233,4,2,2/16/2024,48
234,34,7,2/23/2025,79
235,1,8,2/24/2025,11
236,10,7,8/8/2023,30
237,17,5,7/30/2024,60
238,7,4,6/7/2025,18
239,39,8,8/21/2024,92
240,13,9,7/3/2024,77
241,22,7,1/11/2024,74
242,1,1,6/15/2025,47
243,28,4,2/16/2025,12
244,33,4,11/9/2023,50
245,13,3,3/6/2025,40
246,1,4,6/26/2025,90
247,38,9,12/24/2024,64
248,25,1,5/4/2025,19
249,42,2,5/2/2025,87
250,21,7,3/27/2025,100
251,33,9,8/22/2023,27
252,37,7,1/20/2025,52
253,34,1,12/3/2024,80
254,3,7,8/6/2024,7
255,30,6,2/24/2024,63
256,3,1,3/22/2024,77
257,18,1,9/28/2023,55
258,23,2,12/15/2023,76
259,8,6,6/14/2025,91
260,9,4,7/18/2024,97
261,2,4,7/1/2025,31
262,2,6,1/22/2024,11
263,27,9,5/17/2025,17
264,48,1,8/12/2023,66
265,39,2,6/19/2024,67
266,36,8,11/1/2024,98
267,5,8,12/15/2024,32
268,1,6,11/19/2023,24
269,22,6,2/26/2025,88
270,10,8,12/25/2023,13
271,45,2,1/7/2025,22
272,24,2,9/15/2024,19
273,15,1,6/23/2025,53
274,33,6,7/16/2025,94
275,50,6,5/25/2024,39
276,23,6,8/31/2024,21
277,14,2,7/4/2025,87
278,18,7,1/9/2024,16
279,25,3,2/27/2025,7
280,22,1,11/19/2024,84
281,44,1,4/17/2024,78
282,44,9,6/19/2025,26
283,37,3,4/21/2024,86
284,7,8,6/12/2025,100
285,26,7,11/30/2024,90
286,24,2,9/13/2024,76
287,13,2,6/4/2024,31
288,41,4,7/11/2024,68
289,6,2,12/14/2024,40
290,21,5,6/10/2025,27
291,7,7,1/14/2024,9
292,18,2,1/12/2024,76
293,15,9,1/7/2025,93
294,8,1,11/21/2023,92
295,16,2,5/25/2025,16
296,49,7,12/14/2024,72
297,3,5,2/13/2024,13
298,45,1,6/20/2025,78
299,9,4,1/29/2024,60
300,47,8,6/23/2024,79
301,26,5,9/16/2024,60
302,26,2,10/3/2024,9
303,30,9,5/3/2025,53
304,27,1,12/30/2024,32
305,16,1,4/21/2025,86
306,48,5,7/17/2025,55
307,4,9,3/16/2025,25
308,19,6,10/27/2023,41
309,34,5,7/25/2024,26
310,6,6,5/4/2025,29
311,45,6,5/7/2025,82
312,15,9,1/13/2025,36
313,10,9,6/20/2025,84
314,42,5,5/22/2024,97
315,36,4,6/9/2025,84
316,46,1,3/24/2024,3
317,40,6,8/27/2023,59
318,6,7,3/27/2025,34
319,44,7,1/14/2025,6
320,40,1,8/9/2023,31
321,6,6,12/13/2023,99
322,15,8,4/26/2024,32
323,29,3,6/3/2025,42
324,25,1,2/3/2025,57
325,19,7,1/13/2024,73
326,14,4,3/8/2024,46
327,3,5,5/1/2025,91
328,50,2,9/18/2023,88
329,42,7,9/15/2024,56
330,46,1,7/5/2024,50
331,14,4,2/24/2024,86
332,39,8,2/16/2024,30
333,39,7,9/29/2024,36
334,21,7,11/6/2024,26
335,11,7,2/8/2025,50
336,50,5,2/4/2024,2
337,10,3,9/26/2023,7
338,15,7,2/23/2025,27
339,30,8,10/10/2023,80
340,44,7,1/21/2024,49
341,17,6,12/10/2024,46
342,29,9,2/24/2025,93
343,17,6,6/3/2024,85
344,33,5,11/16/2023,26
345,38,6,12/7/2024,82
346,21,4,11/9/2024,65
347,47,6,10/31/2024,2
348,14,4,8/6/2024,78
349,10,5,2/6/2025,79
350,42,6,9/18/2024,64
351,23,1,5/1/2025,64
352,39,6,9/3/2024,100
353,39,6,6/9/2024,88
354,14,1,10/26/2024,60
355,47,7,11/15/2024,89
356,22,5,5/12/2025,9
357,41,8,10/15/2023,15
358,28,5,9/5/2023,37
359,47,5,2/24/2024,6
360,9,2,2/23/2025,43
361,23,4,1/28/2024,45
362,7,4,4/17/2024,76
363,24,8,3/13/2025,91
364,43,3,10/1/2023,71
365,37,1,2/15/2025,28
366,9,7,5/10/2025,52
367,38,9,3/24/2024,76
368,7,6,5/17/2024,35
369,23,2,3/27/2024,66
370,25,2,1/29/2025,26
371,46,1,7/13/2024,20
372,22,6,9/4/2024,89
373,43,8,8/14/2024,62
374,7,1,10/6/2024,85
375,6,1,10/6/2023,1
376,36,1,5/5/2024,92
377,46,5,4/8/2025,53
378,22,7,9/21/2023,77
379,35,4,11/6/2023,30
380,49,1,8/31/2023,60
381,47,1,4/20/2024,10
382,33,3,10/1/2023,22
383,21,5,6/24/2025,29
384,11,5,3/12/2025,69
385,13,9,10/30/2023,8
386,3,9,1/14/2025,53
387,13,9,4/20/2025,11
388,50,8,12/10/2023,26
389,41,9,10/13/2023,19
390,34,8,6/24/2025,19
391,28,8,4/3/2025,30
392,40,8,3/13/2025,36
393,34,8,5/10/2024,42
394,32,5,7/29/2024,56
395,23,3,6/6/2024,9
396,24,4,6/9/2025,7
397,1,9,11/30/2024,18
398,24,7,7/11/2025,9
399,3,9,10/31/2023,6
400,17,7,10/31/2023,70
401,7,8,6/21/2025,45
402,10,3,8/21/2023,22
403,19,8,11/9/2024,81
404,24,4,12/9/2024,79
405,9,6,12/30/2024,73
406,50,1,10/15/2023,70
407,15,2,12/1/2023,87
408,49,7,4/6/2024,81
409,22,6,11/20/2024,96
410,17,5,1/23/2025,32
411,19,7,4/2/2024,67
412,9,2,1/3/2024,16
413,38,4,7/24/2024,2
414,19,5,5/4/2024,67
415,8,8,12/4/2024,41
416,6,6,4/13/2024,51
417,49,6,9/14/2023,14
418,38,5,9/18/2023,78
419,45,5,10/21/2023,94
420,21,1,8/20/2023,49
421,29,4,7/31/2024,49
422,34,9,7/19/2024,27
423,12,2,6/20/2024,81
424,39,6,4/29/2024,39
425,32,2,2/1/2024,73
426,6,9,8/7/2023,36
427,17,5,11/7/2024,10
428,32,9,1/16/2025,93
429,8,5,7/15/2025,4
430,38,9,10/12/2023,85
431,29,2,1/19/2025,2
432,31,7,9/22/2023,79
433,19,8,12/20/2024,28
434,9,3,1/15/2024,89
435,28,1,11/4/2024,26
436,48,2,3/8/2025,73
437,50,5,7/8/2025,30
438,39,9,2/13/2024,9
439,40,5,10/27/2023,1
440,31,1,3/13/2024,56
441,19,1,12/24/2024,56
442,33,2,5/27/2025,76
443,26,1,4/21/2024,61
444,45,8,7/23/2024,45
445,1,2,10/23/2024,13
446,11,8,2/21/2025,14
447,2,5,6/23/2024,10
448,35,1,6/28/2024,17
449,13,4,11/7/2024,17
450,39,2,1/3/2024,31
451,34,6,1/11/2025,46
452,34,5,5/4/2024,49
453,35,9,4/9/2025,90
454,32,3,12/10/2023,99
455,45,5,5/3/2024,100
456,12,7,1/15/2025,75
457,33,9,2/15/2025,80
458,18,3,12/7/2024,93
459,5,4,12/7/2023,18
460,19,1,11/10/2023,75
461,31,2,3/22/2025,11
462,27,3,2/24/2024,73
463,42,7,8/13/2024,89
464,38,7,7/17/2025,55
465,50,1,2/19/2024,96
466,15,9,10/7/2023,98
467,46,3,6/29/2025,3
468,48,3,8/9/2024,78
469,4,2,7/12/2024,89
470,19,3,4/18/2024,16
471,21,6,3/20/2024,100
472,40,4,5/27/2024,9
473,1,2,3/22/2024,68
474,20,8,4/4/2025,45
475,22,1,6/7/2025,2
476,13,8,9/11/2023,89
477,41,2,12/29/2023,22
478,1,9,8/22/2024,69
479,15,4,11/10/2024,49
480,15,4,7/26/2024,21
481,14,7,9/7/2023,74
482,5,3,6/11/2024,87
483,49,3,11/20/2024,91
484,6,4,6/6/2024,94
485,41,3,4/21/2024,55
486,31,8,1/6/2024,4
487,26,9,9/2/2023,58
488,25,5,6/18/2024,70
489,49,3,11/5/2023,59
490,39,7,3/26/2024,26
491,40,3,11/16/2024,74
492,15,6,6/17/2024,69
493,6,4,5/11/2025,39
494,1,7,3/19/2025,1
495,41,6,11/11/2023,57
496,7,7,11/19/2024,98
497,4,4,1/11/2024,48
498,1,6,6/16/2024,72
499,41,7,12/29/2024,21
500,2,8,4/3/2024,31
501,48,9,1/10/2024,58
502,34,3,7/11/2024,47
503,35,5,11/18/2023,23
504,46,3,9/8/2024,75
505,13,5,4/6/2025,80
506,17,2,2/5/2025,91
507,10,3,11/14/2023,7
508,3,7,7/6/2025,49
509,4,8,1/10/2025,88
510,25,5,7/17/2024,96
511,37,3,10/7/2023,99
512,43,4,10/6/2023,31
513,38,3,4/10/2025,47
514,29,3,3/5/2025,93
515,1,9,1/17/2024,68
516,30,4,2/25/2024,35
517,39,6,1/22/2025,75
518,10,3,1/19/2025,34
519,29,8,9/21/2023,58
520,44,4,10/21/2023,15
521,32,8,2/20/2024,78
522,44,2,7/14/2024,85
523,1,9,10/10/2024,71
524,41,2,8/19/2024,81
525,17,3,12/25/2024,42
526,12,3,11/21/2023,18
527,2,5,8/19/2023,78
528,9,3,3/9/2024,38
529,12,8,9/18/2023,64
530,25,7,9/12/2024,29
531,36,1,5/20/2024,10
532,44,6,11/6/2023,17
533,50,2,12/18/2023,32
534,35,8,12/21/2024,61
535,22,8,12/3/2024,84
536,33,7,2/18/2025,81
537,50,8,3/29/2025,46
538,21,1,6/2/2024,71
539,40,8,12/18/2024,56
540,22,1,9/12/2023,61
541,28,3,9/10/2023,44
542,4,4,9/10/2024,94
543,26,3,5/30/2024,38
544,23,2,4/2/2025,50
545,48,3,1/8/2025,74
546,49,9,10/5/2024,32
547,23,2,10/7/2024,90
548,41,5,4/10/2025,53
549,8,3,6/15/2024,48
550,32,9,12/21/2024,81
551,39,7,1/4/2025,1
552,44,3,2/27/2025,90
553,1,2,2/24/2025,30
554,30,2,8/14/2023,9
555,28,5,7/29/2023,33
556,17,9,11/10/2023,26
557,23,2,5/3/2024,42
558,38,2,2/13/2024,74
559,24,8,5/17/2024,42
560,22,3,6/30/2024,96
561,5,3,6/28/2024,39
562,25,6,5/12/2024,61
563,7,6,9/21/2023,47
564,22,6,10/16/2023,42
565,44,5,3/30/2024,48
566,37,4,7/10/2025,52
567,34,9,9/14/2024,33
568,36,4,12/22/2024,27
569,49,1,2/12/2025,43
570,40,8,6/12/2025,29
571,20,8,9/7/2023,19
572,37,3,11/19/2023,82
573,17,9,11/19/2023,99
574,4,7,5/11/2025,28
575,50,7,3/20/2024,10
576,18,5,8/2/2024,67
577,28,3,9/20/2024,93
578,50,5,7/3/2025,16
579,16,3,12/18/2023,100
580,43,3,7/20/2024,1
581,8,1,8/30/2024,82
582,44,4,10/4/2023,4
583,18,9,3/20/2025,69
584,50,6,3/30/2024,85
585,29,6,5/17/2024,4
586,40,6,6/8/2025,20
587,16,5,12/23/2024,63
588,30,2,6/29/2025,83
589,49,5,4/29/2025,35
590,34,3,10/27/2023,45
591,30,2,12/2/2024,57
592,21,4,10/5/2023,24
593,22,9,8/22/2024,20
594,47,7,11/18/2024,28
595,25,9,11/13/2023,38
596,22,3,3/3/2024,24
597,28,2,5/1/2025,84
598,39,9,9/6/2024,24
599,33,6,8/23/2024,70
600,2,4,4/9/2024,25
601,4,4,12/19/2023,96
602,16,6,9/6/2024,81
603,12,7,9/13/2023,81
604,17,5,10/27/2024,69
605,36,8,11/21/2024,17
606,16,1,8/22/2024,58
607,39,1,5/23/2025,73
608,23,4,4/23/2024,20
609,8,8,2/23/2025,2
610,9,8,10/23/2024,83
611,14,6,5/22/2025,9
612,9,5,8/1/2023,63
613,47,2,6/17/2024,83
614,26,5,7/31/2023,68
615,36,5,8/17/2024,6
616,3,2,9/24/2024,100
617,10,8,9/26/2023,11
618,25,5,9/19/2024,21
619,4,5,9/23/2024,63
620,30,1,4/4/2025,89
621,50,1,7/1/2025,30
622,11,1,2/9/2024,82
623,19,8,6/25/2024,89
624,50,2,11/23/2024,21
625,13,8,4/21/2025,23
626,36,6,12/13/2024,61
627,3,5,3/3/2024,30
628,48,6,10/2/2024,46
629,14,4,8/10/2024,60
630,10,3,9/25/2023,18
631,38,4,5/28/2025,62
632,40,9,12/16/2023,97
633,27,8,1/26/2025,45
634,24,8,7/25/2024,61
635,16,1,9/2/2023,59
636,10,5,9/22/2023,35
637,27,6,9/11/2024,22
638,7,9,12/16/2024,24
639,28,6,4/11/2025,87
640,26,1,5/12/2024,51
641,18,1,1/2/2025,65
642,13,7,6/6/2025,15
643,8,3,11/27/2023,28
644,27,7,6/11/2025,42
645,14,5,7/25/2023,20
646,41,1,9/8/2024,100
647,44,8,10/24/2024,43
648,6,9,11/11/2024,80
649,20,6,10/30/2024,69
650,28,2,2/25/2024,63
651,23,9,10/7/2023,43
652,12,2,7/7/2024,79
653,24,6,1/26/2025,2
654,44,4,4/4/2024,88
655,22,6,3/28/2025,77
656,26,4,3/3/2024,23
657,22,3,4/14/2025,12
658,7,8,12/23/2024,46
659,15,5,1/3/2024,33
660,48,1,3/21/2024,44
661,30,8,7/31/2023,25
662,4,3,4/23/2024,35
663,6,4,5/18/2025,35
664,48,9,8/21/2024,65
665,47,3,12/19/2024,43
666,2,5,7/7/2025,68
667,31,8,10/17/2024,62
668,24,6,1/2/2024,31
669,35,3,1/3/2024,28
670,47,8,1/20/2024,11
671,31,5,5/24/2025,32
672,25,6,2/27/2025,66
673,8,3,9/13/2024,60
674,12,8,12/19/2023,51
675,2,4,7/17/2024,59
676,15,9,3/10/2025,77
677,40,5,2/4/2025,17
678,32,1,5/9/2024,68
679,11,9,7/31/2024,95
680,17,8,10/2/2024,38
681,21,5,2/6/2024,64
682,22,3,4/13/2025,3
683,33,9,10/15/2023,54
684,29,7,4/29/2024,76
685,15,8,11/10/2024,44
686,21,3,8/15/2023,82
687,2,6,6/11/2024,30
688,42,4,2/24/2024,75
689,38,3,7/17/2024,88
690,3,4,8/24/2023,85
691,25,2,5/12/2024,54
692,13,5,11/10/2024,48
693,24,8,6/25/2024,35
694,31,5,10/27/2024,68
695,15,2,10/13/2024,26
696,6,7,2/17/2024,72
697,41,8,4/3/2025,88
698,10,4,6/9/2025,56
699,9,3,6/1/2024,76
700,50,8,4/19/2024,69
701,41,2,10/9/2023,80
702,50,7,2/27/2025,64
703,41,8,7/9/2025,96
704,5,5,8/31/2024,29
705,45,7,9/24/2024,97
706,44,9,3/9/2024,78
707,41,8,6/12/2024,59
708,19,5,10/30/2023,25
709,20,4,3/19/2025,72
710,33,3,6/27/2024,27
711,43,6,6/4/2025,99
712,37,4,12/8/2023,22
713,31,4,3/3/2024,71
714,39,7,6/12/2025,100
715,13,5,9/2/2023,47
716,38,1,4/8/2025,76
717,45,5,9/7/2024,55
718,6,6,12/20/2023,9
719,47,1,11/15/2023,54
720,8,3,8/26/2023,64
721,43,6,1/4/2024,99
722,10,7,7/17/2025,39
723,41,7,3/6/2024,83
724,4,7,12/13/2023,92
725,14,9,8/1/2024,93
726,4,2,3/23/2024,8
727,24,3,11/20/2024,27
728,47,7,9/16/2024,69
729,21,6,8/17/2024,93
730,10,1,4/24/2025,99
731,46,7,5/20/2025,33
732,25,2,3/5/2025,96
733,6,4,2/25/2025,85
734,16,7,1/22/2024,10
735,44,4,5/10/2024,16
736,28,6,1/3/2024,11
737,36,9,5/11/2024,19
738,33,5,6/13/2024,64
739,30,3,7/18/2023,52
740,36,6,4/1/2025,77
741,25,4,9/30/2024,15
742,13,9,3/31/2024,42
743,39,2,10/1/2023,100
744,15,5,5/17/2025,96
745,38,9,8/13/2023,83
746,30,7,7/6/2025,79
747,14,5,3/29/2025,38
748,50,8,1/13/2024,86
749,4,2,12/27/2024,49
750,1,4,10/23/2023,77
751,3,6,9/15/2024,84
752,45,7,8/11/2024,49
753,50,8,4/23/2025,79
754,36,4,6/19/2025,71
755,4,9,7/8/2024,55
756,43,7,9/5/2023,22
757,14,2,10/25/2024,43
758,25,9,2/3/2024,50
759,39,7,4/2/2024,84
760,3,5,11/8/2023,19
761,7,3,12/14/2023,91
762,8,9,5/10/2024,72
763,44,7,2/12/2024,18
764,7,3,6/5/2025,10
765,48,5,11/19/2023,50
766,25,3,11/20/2024,49
767,17,3,3/15/2025,41
768,26,7,5/31/2024,99
769,4,9,5/17/2024,15
770,49,5,5/22/2024,23
771,18,4,3/7/2025,76
772,4,4,5/29/2025,27
773,17,3,8/25/2023,6
774,47,8,12/2/2023,24
775,17,1,8/4/2024,86
776,45,3,10/26/2024,9
777,25,2,10/30/2024,74
778,3,7,1/25/2024,62
779,12,6,9/18/2024,67
780,27,1,7/16/2025,70
781,17,3,10/7/2023,90
782,22,4,1/27/2024,78
783,39,7,2/10/2025,100
784,39,3,10/3/2023,42
785,43,4,3/13/2024,60
786,48,7,10/14/2023,83
787,36,4,9/1/2024,48
788,16,9,10/5/2023,56
789,37,6,9/1/2023,87
790,29,2,11/15/2023,5
791,14,1,6/28/2024,79
792,7,8,12/14/2023,94
793,41,3,6/14/2025,97
794,28,7,5/22/2025,54
795,13,4,9/27/2023,38
796,16,3,10/14/2024,19
797,21,9,5/3/2025,69
798,4,6,10/6/2023,73
799,39,6,8/7/2023,71
800,35,6,1/7/2024,24
801,15,3,7/8/2025,80
802,26,6,10/21/2024,10
803,46,4,10/15/2023,85
804,7,2,1/11/2025,21
805,18,3,6/21/2024,15
806,25,4,5/2/2025,64
807,37,1,10/16/2023,13
808,21,7,5/31/2024,71
809,8,5,12/15/2024,40
810,20,9,11/27/2024,8
811,18,6,3/18/2025,38
812,19,8,2/17/2025,52
813,3,9,4/3/2025,2
814,38,6,5/30/2025,22
815,18,7,4/29/2025,4
816,27,6,7/8/2025,52
817,15,6,9/10/2023,7
818,46,2,8/25/2024,1
819,21,5,2/27/2025,83
820,22,6,5/25/2025,58
821,8,5,6/17/2024,62
822,11,4,11/26/2023,94
823,43,6,2/12/2025,66
824,12,6,5/9/2025,55
825,48,8,11/19/2023,13
826,39,8,8/4/2024,28
827,27,1,3/30/2025,14
828,35,2,5/23/2024,3
829,2,1,2/5/2025,16
830,35,7,3/16/2024,89
831,31,8,11/16/2024,46
832,8,3,4/13/2024,3
833,20,3,1/31/2024,98
834,8,7,4/17/2024,3
835,4,8,3/25/2024,41
836,31,6,2/7/2024,29
837,32,8,12/13/2024,40
838,13,2,11/24/2024,19
839,22,7,12/11/2024,20
840,26,5,12/26/2024,21
841,17,6,8/1/2024,20
842,29,7,7/31/2023,92
843,27,9,10/21/2024,47
844,22,7,9/2/2023,91
845,18,1,10/1/2023,44
846,5,5,11/15/2024,89
847,12,4,5/7/2025,2
848,2,8,5/19/2024,43
849,42,7,10/11/2024,57
850,7,4,7/15/2024,88
851,47,3,9/18/2024,97
852,26,6,1/28/2024,19
853,39,8,10/30/2024,90
854,15,3,6/20/2024,64
855,48,5,9/10/2023,46
856,33,1,7/1/2024,41
857,47,8,1/14/2025,67
858,3,7,12/24/2024,91
859,42,8,8/16/2024,14
860,48,2,3/27/2024,20
861,2,7,9/15/2024,35
862,17,4,11/22/2024,87
863,1,2,10/29/2024,25
864,36,9,12/8/2024,4
865,43,5,1/22/2025,57
866,17,7,5/20/2024,2
867,2,4,4/4/2025,66
868,33,4,6/26/2024,89
869,29,3,2/25/2025,87
870,6,1,6/2/2024,21
871,43,2,6/10/2024,89
872,36,9,9/26/2023,91
873,24,1,7/27/2024,52
874,11,5,10/16/2024,75
875,5,2,4/17/2024,78
876,30,4,5/6/2024,81
877,10,7,10/27/2024,15
878,37,5,11/16/2023,46
879,27,1,1/5/2024,31
880,27,3,2/7/2024,62
881,24,9,7/27/2023,34
882,3,1,12/12/2024,36
883,38,4,2/17/2024,44
884,26,5,1/23/2025,63
885,45,3,10/9/2024,77
886,48,3,5/14/2025,18
887,39,1,12/19/2024,81
888,18,6,2/25/2025,45
889,3,4,12/23/2023,39
890,38,8,8/31/2024,92
891,42,6,5/25/2024,26
892,48,3,12/28/2024,78
893,25,7,4/2/2025,75
894,13,3,12/9/2023,96
895,25,9,7/23/2023,24
896,24,8,2/7/2025,58
897,41,3,7/13/2024,95
898,16,2,10/1/2023,50
899,43,3,7/28/2023,72
900,41,4,6/6/2024,39
901,42,3,12/28/2024,72
902,11,9,7/29/2024,31
903,21,2,11/24/2023,83
904,31,8,7/1/2025,36
905,15,7,6/17/2024,39
906,45,1,12/9/2024,96
907,49,6,1/14/2024,21
908,36,6,4/29/2024,23
909,43,9,2/3/2025,54
910,1,8,8/20/2023,36
911,28,7,8/7/2023,15
912,33,7,8/13/2023,2
913,3,5,6/13/2024,76
914,15,2,5/20/2025,70
915,33,5,2/8/2024,38
916,32,1,4/21/2024,65
917,23,6,4/28/2025,50
918,26,2,10/1/2023,90
919,48,1,5/20/2025,87
920,17,1,12/13/2023,1
921,9,1,2/14/2025,21
922,5,4,7/27/2024,57
923,29,5,6/1/2024,19
924,6,5,5/6/2025,29
925,47,1,12/16/2024,50
926,41,6,8/22/2023,90
927,35,3,9/27/2024,34
928,21,4,3/5/2025,81
929,45,5,4/3/2025,82
